!SET_MAP	"data\mission\SMaps\RaceAgainstTheClock.map"
!SET_MAX_PLAYER	8

!SET_TACTIC

!SET_UNIT 24 30 77
!SET_UNIT 24 81 80
!SET_UNIT 25 16 49
!SET_UNIT 25 10 52
!SET_UNIT 25 32 49
!SET_UNIT 25 81 56
!SET_UNIT 25 60 48
!SET_UNIT 26 12 53
!SET_UNIT 26 77 54
!SET_UNIT 31 18 48
!SET_UNIT 31 18 47
!SET_UNIT 31 22 44

!SET_CURR_PLAYER 0
!SET_HUMAN_PLAYER 0
!ENABLE_PLAYER 0
!CENTER_SCREEN 21 29

!ADD_GOAL 4 1 0 3
!ADD_GOAL 4 1 0 5
!ADD_GOAL 4 1 0 6
!ADD_GOAL 4 1 0 7
!ADD_LOST_GOAL 3 0 0 1

!CLEAR_UP 10 10 18
!CLEAR_UP 30 10 18
!CLEAR_UP 50 10 18
!CLEAR_UP 70 10 18
!CLEAR_UP 90 10 18
!CLEAR_UP 10 30 18
!CLEAR_UP 30 30 18
!CLEAR_UP 50 30 18
!CLEAR_UP 70 30 18
!CLEAR_UP 90 30 18
!CLEAR_UP 90 64 18
!CLEAR_UP 46 58 18
!CLEAR_UP 10 56 5
!CLEAR_UP 19 52 5
!CLEAR_UP 3 53 5
!CLEAR_UP 38 66 10
CLEAR_UP 255

!SET_MAP_COLOR	231

!SET_ALLIANCE 1 1

!SET_HOUSE 0 80 9
!SET_HOUSE 1 3 32
!SET_HOUSE 2 15 30
!SET_HOUSE 3 3 24
!SET_HOUSE 3 4 28
!SET_HOUSE 3 9 26
!SET_HOUSE 3 11 29
!SET_HOUSE 3 61 28
!SET_HOUSE 3 65 31
!SET_HOUSE 3 69 31
!SET_HOUSE 4 4 20
!SET_HOUSE 5 67 25
!SET_HOUSE 5 56 20
!SET_HOUSE 6 21 36
!SET_HOUSE 7 30 33
!SET_HOUSE 8 38 15
!SET_HOUSE 8 45 15
!SET_HOUSE 8 37 22
!SET_HOUSE 8 44 22
!SET_HOUSE 9 73 3
!SET_HOUSE 9 79 12
!SET_HOUSE 10 9 33
!SET_HOUSE 10 14 25
!SET_HOUSE 11 21 29
!SET_HOUSE 11 86 12
!SET_HOUSE 11 40 29
!SET_HOUSE 11 55 3
!SET_HOUSE 11 69 36
!SET_HOUSE 12 25 25
!SET_HOUSE 13 20 24
!SET_HOUSE 14 80 6
!SET_HOUSE 14 87 6
!SET_HOUSE 15 60 25
!SET_HOUSE 15 72 28
!SET_HOUSE 16 32 28
!SET_HOUSE 16 32 20
!SET_HOUSE 17 27 14
!SET_HOUSE 17 21 14
