!SET_MAP	"data\mission\smaps\Intermediary.map"
!SET_MAX_PLAYER	8



!SET_CURR_PLAYER 0
!SET_RGB_COLOR 460799
!SET_HUMAN_PLAYER 0
!ENABLE_PLAYER 0
!CENTER_SCREEN 100 150

CLEAR_UP 255
!CLEAR_UP 108 85 5
!CLEAR_UP 26 135 5
!CLEAR_UP 85 71 5
!CLEAR_UP 43 9 8
!CLEAR_UP 43 16 8
!CLEAR_UP 43 23 8
CLEAR_UP 106 5 5

!ADD_LOST_GOAL 4 0 0 0
!ADD_LOST_GOAL 8 0 0 1
!ADD_LOST_GOAL 8 0 0 3
!ADD_LOST_GOAL 8 0 0 4
!ADD_LOST_GOAL 8 0 0 5
!ADD_GOAL 3 1 0 2
!ADD_GOAL 3 1 0 4
!ADD_GOAL 3 1 0 5

!BLOCK_HOUSE 14
!RELEASE_HOUSE 9
!RELEASE_HOUSE 13
!RELEASE_HOUSE 21
!RELEASE_HOUSE 27

!SET_HOUSE 11 108 85

!SET_STREET 107 86 !SET_STREET 107 87 !SET_STREET 106 88 !SET_STREET 107 88 
!SET_STREET 108 88 !SET_STREET 106 89 !SET_STREET 107 89 !SET_STREET 108 89 

!SET_GROUP 18 96 153 6 3 9
!SET_GROUP 20 103 148 6 5 15
!SET_GROUP 22 96 144 6 2 10

!SET_UNIT 0 106 86
!SET_UNIT 0 106 87
!SET_UNIT 0 108 86
!SET_UNIT 0 108 87
!SET_UNIT 9 107 149
!SET_UNIT 9 107 150
!SET_UNIT 9 107 151

!ADD_WARE 1 300
!ADD_WARE 2 60
!ADD_WARE 7 120
!ADD_WARE 8 50
!ADD_WARE 10 50
!ADD_WARE 13 50
!ADD_WARE 19 10
!ADD_WARE 25 10





!SET_CURR_PLAYER 1
!ENABLE_PLAYER 1
!SET_AI_PLAYER
!SET_AI_START_POSITION 13 152
!SET_AI_NO_BUILD
!SET_AI_CHARACTER TOWN_DEFENSE 0
!SET_AI_CHARACTER CONSTRUCTORS 0
!SET_AI_CHARACTER WORKER_FACTOR	5
!SET_AI_CHARACTER TROUP_PARAM 0 20 5
!SET_AI_CHARACTER TROUP_PARAM 1 12 4
!SET_AI_CHARACTER TROUP_PARAM 2 12 4
!SET_AI_CHARACTER TROUP_PARAM 3 10 2

!SET_MAP_COLOR	68

!SET_ALLIANCE 2 1
!SET_ALLIANCE 4 1

!SET_HOUSE 19 20 139
!SET_HOUSE 20 22 144
!SET_HOUSE 24 16 143
!SET_HOUSE 17 6 134
!SET_HOUSE 17 29 154
!SET_HOUSE 25 17 147
!SET_HOUSE 16 11 140
!SET_HOUSE 27 11 146
!SET_HOUSE 8 4 149
!SET_HOUSE 11 14 151
!SET_HOUSE 8 10 155

!SET_STREET 6 135 !SET_STREET 24 135 !SET_STREET 26 135 !SET_STREET 6 136 
!SET_STREET 24 136 !SET_STREET 25 136 !SET_STREET 26 136 !SET_STREET 6 137 
!SET_STREET 7 137 !SET_STREET 24 137 !SET_STREET 25 137 !SET_STREET 7 138 
